,formula,Temperature,target
750,Ba1I2,1600.0,112.968
751,Ba1I2,1500.0,112.968
752,Ba1I2,1400.0,112.968
753,Ba1I2,1300.0,112.968
754,Ba1I2,1200.0,112.968
755,Ba1I2,1100.0,112.968
756,Ba1I2,1000.0,112.968
757,Ba1I2,984.0,91.211
758,Ba1I2,984.0,112.968
759,Ba1I2,900.0,89.538
760,Ba1I2,800.0,87.529
761,Ba1I2,700.0,85.521
762,Ba1I2,600.0,83.51299999999999
763,Ba1I2,500.0,81.546
764,Ba1I2,400.0,79.538
765,Ba1I2,300.0,77.53
766,Cl2Fe1,1900.0,89.95299999999999
767,Cl2Fe1,1800.0,89.90700000000001
768,Cl2Fe1,1700.0,89.81700000000001
769,Cl2Fe1,1600.0,89.684
770,Cl2Fe1,1500.0,89.507
771,Cl2Fe1,1400.0,89.287
772,Cl2Fe1,1300.0,88.962
773,Cl2Fe1,1200.0,88.554
774,Cl2Fe1,1100.0,88.01299999999999
775,Cl2Fe1,1000.0,87.354
776,Cl2Fe1,950.0,86.944
777,Cl2Fe1,900.0,86.50399999999999
778,Cl2Fe1,800.0,85.508
779,Cl2Fe1,700.0,84.375
780,Cl2Fe1,600.0,83.10700000000001
781,Cl2Fe1,500.0,81.638
782,Cl2Fe1,400.0,79.668
783,Cl2Fe1,300.0,76.735
784,Cl2Fe1,298.0,76.664
785,C1K1N1,1900.0,66.905
786,C1K1N1,1800.0,66.865
787,C1K1N1,1700.0,66.82600000000001
788,C1K1N1,1600.0,66.78699999999999
789,C1K1N1,1500.0,66.747
790,C1K1N1,1400.0,66.708
791,C1K1N1,1300.0,66.669
792,C1K1N1,1200.0,66.62899999999999
793,C1K1N1,1100.0,66.59
794,C1K1N1,1000.0,66.551
795,C1K1N1,900.0,66.51100000000001
796,C1K1N1,895.0,66.509
797,C1K1N1,800.0,66.471
798,C1K1N1,700.0,66.431
799,C1K1N1,600.0,66.392
800,C1K1N1,500.0,66.354
801,C1K1N1,400.0,66.316
802,C1K1N1,300.0,66.383
803,C1K1N1,298.0,66.391
804,Be1H2O2,298.0,65.70100000000001
805,Be1H2O2,900.0,110.399
806,Be1H2O2,800.0,107.495
807,Be1H2O2,700.0,103.956
808,Be1H2O2,600.0,99.387
809,Be1H2O2,500.0,92.994
810,Be1H2O2,400.0,82.902
811,Be1H2O2,300.0,66.053
812,Cs1,900.0,37.656
813,Cs1,800.0,37.635
814,Cs1,700.0,37.614
815,Cs1,600.0,37.53
816,Cs1,500.0,37.196
817,Cs1,450.0,36.777
818,Cs1,400.0,36.066
819,Cs1,350.0,34.84
820,Cs1,301.55,32.501
821,Cs1,300.0,32.355
822,Cs1,298.0,32.195
823,Al1H4Li1,298.0,86.4
824,Al1H4Li1,1900.0,123.763
825,Al1H4Li1,1800.0,123.247
826,Al1H4Li1,1700.0,122.717
827,Al1H4Li1,1600.0,122.173
828,Al1H4Li1,1500.0,121.615
829,Al1H4Li1,1400.0,121.043
830,Al1H4Li1,1300.0,120.416
831,Al1H4Li1,1200.0,119.746
832,Al1H4Li1,1100.0,118.847
833,Al1H4Li1,1000.0,117.78
834,Al1H4Li1,900.0,116.2
835,Al1H4Li1,800.0,114.223
836,Al1H4Li1,700.0,111.294
837,Al1H4Li1,600.0,106.901
838,Al1H4Li1,500.0,101.253
839,Al1H4Li1,400.0,93.722
840,Al1H4Li1,300.0,86.944
841,C1Be2,3400.0,92.939
842,C1Be2,3300.0,92.864
843,C1Be2,3200.0,92.786
844,C1Be2,3100.0,92.705
845,C1Be2,3000.0,92.621
846,C1Be2,2900.0,92.534
847,C1Be2,2800.0,92.443
848,C1Be2,2700.0,92.35
849,C1Be2,2600.0,92.253
850,C1Be2,2500.0,92.153
851,C1Be2,2400.0,92.048
852,C1Be2,2400.0,92.048
853,C1Be2,2300.0,91.964
854,C1Be2,2200.0,91.885
855,C1Be2,2100.0,91.797
856,C1Be2,2000.0,91.722
857,C1Be2,1900.0,91.621
858,C1Be2,1800.0,91.349
859,C1Be2,1700.0,90.843
860,C1Be2,1600.0,90.023
861,C1Be2,1500.0,88.881
862,C1Be2,1400.0,87.27799999999999
863,C1Be2,1300.0,85.01100000000001
864,C1Be2,1200.0,81.797
865,C1Be2,1100.0,77.525
866,C1Be2,1000.0,73.249
867,C1Be2,900.0,68.977
868,C1Be2,800.0,64.706
869,C1Be2,700.0,60.434
870,C1Be2,600.0,51.89
871,C1Be2,500.0,49.752
872,C1Be2,400.0,47.614
873,C1Be2,300.0,43.32899999999999
874,C1Be2,298.0,43.25
875,Cr1,2700.0,68.467
876,Cr1,2600.0,66.111
877,Cr1,2500.0,63.764
878,Cr1,2400.0,61.425
879,Cr1,2300.0,59.099
880,Cr1,2200.0,56.785
881,Cr1,2130.0,55.174
882,Cr1,2100.0,54.488
883,Cr1,2000.0,52.20399999999999
884,Cr1,1900.0,49.944
885,Cr1,1800.0,47.706
886,Cr1,1700.0,45.501000000000005
887,Cr1,1600.0,43.32899999999999
888,Cr1,1500.0,41.2
889,Cr1,1400.0,39.125
890,Cr1,1300.0,37.116
891,Cr1,1200.0,35.187
892,Cr1,1100.0,33.472
893,Cr1,1000.0,31.861
894,Cr1,900.0,30.501
895,Cr1,800.0,29.434
896,Cr1,700.0,28.577
897,Cr1,600.0,27.719
898,Cr1,500.0,26.631
899,Cr1,450.0,25.983
900,Cr1,400.0,25.23
901,Cr1,350.0,24.393
902,Cr1,311.5,23.681
903,Cr1,311.5,23.681
904,Cr1,300.0,23.472
905,Cr1,298.0,23.434
906,Cs2O4S1,1400.0,256.103
907,Cs2O4S1,1300.0,240.622
908,Cs2O4S1,1278.0,237.233
909,Cs2O4S1,1200.0,225.141
910,Cs2O4S1,1100.0,209.66
911,Cs2O4S1,1000.0,194.179
912,Cs2O4S1,940.0,184.891
913,Cs2O4S1,900.0,178.699
914,Cs2O4S1,800.0,163.218
915,Cs2O4S1,700.0,147.737
916,Cs2O4S1,600.0,132.256
917,Cs2O4S1,500.0,120.081
918,Cs2O4S1,400.0,112.131
919,Cs2O4S1,300.0,108.784
920,Cs2O4S1,298.0,108.7
921,Cl1Cu1,1400.0,66.874
922,Cl1Cu1,1300.0,66.459
923,Cl1Cu1,1200.0,66.01100000000001
924,Cl1Cu1,1100.0,65.531
925,Cl1Cu1,1000.0,65.01899999999999
926,Cl1Cu1,900.0,64.388
927,Cl1Cu1,800.0,63.68
928,Cl1Cu1,703.0,62.791
929,Cl1Cu1,700.0,62.76
930,Cl1Cu1,600.0,61.505
931,Cl1Cu1,500.0,59.831
932,Cl1Cu1,400.0,56.902
933,Cl1Cu1,300.0,48.771
934,Cl1Cu1,298.0,48.534
935,Cu1F2,1900.0,94.558
936,Cu1F2,1800.0,94.558
937,Cu1F2,1700.0,94.558
938,Cu1F2,1600.0,94.433
939,Cu1F2,1500.0,94.224
940,Cu1F2,1400.0,93.847
941,Cu1F2,1300.0,93.303
942,Cu1F2,1200.0,92.55
943,Cu1F2,1109.0,91.713
944,Cu1F2,1100.0,91.588
945,Cu1F2,1000.0,90.374
946,Cu1F2,900.0,88.868
947,Cu1F2,800.0,87.027
948,Cu1F2,700.0,84.81
949,Cu1F2,600.0,81.92299999999999
950,Cu1F2,500.0,77.73899999999999
951,Cu1F2,400.0,72.383
952,Cu1F2,300.0,65.689
953,Cu1F2,298.0,65.55199999999999
954,Al2O3,298.0,79.015
955,Al2O3,2900.0,143.511
956,Al2O3,2800.0,142.591
957,Al2O3,2700.0,141.754
958,Al2O3,2600.0,140.959
959,Al2O3,2500.0,140.20600000000002
960,Al2O3,2400.0,139.453
961,Al2O3,2327.0,138.934
962,Al2O3,2300.0,138.741
963,Al2O3,2200.0,138.03
964,Al2O3,2100.0,137.319
965,Al2O3,2000.0,136.608
966,Al2O3,1900.0,135.89600000000002
967,Al2O3,1800.0,135.143
968,Al2O3,1700.0,134.306
969,Al2O3,1600.0,133.361
970,Al2O3,1500.0,132.29
971,Al2O3,1400.0,131.08100000000002
972,Al2O3,1300.0,129.737
973,Al2O3,1200.0,128.252
974,Al2O3,1100.0,126.608
975,Al2O3,1000.0,124.771
976,Al2O3,900.0,122.662
977,Al2O3,800.0,120.135
978,Al2O3,700.0,116.926
979,Al2O3,600.0,112.545
980,Al2O3,500.0,106.131
981,Al2O3,400.0,96.086
982,Al2O3,300.0,79.416
983,B1N1,298.0,19.719
984,B1N1,3400.0,48.953
985,B1N1,3300.0,48.953
986,B1N1,3200.0,48.953
987,B1N1,3100.0,48.953
988,B1N1,3000.0,48.953
989,B1N1,2900.0,48.953
990,B1N1,2800.0,48.953
991,B1N1,2700.0,48.953
992,B1N1,2600.0,48.953
993,B1N1,2500.0,48.953
994,B1N1,2400.0,48.953
995,B1N1,2300.0,48.953
996,B1N1,2200.0,48.953
997,B1N1,2100.0,48.953
998,B1N1,2000.0,48.953
999,B1N1,1900.0,48.953
1000,B1N1,1800.0,48.953
1001,B1N1,1700.0,48.93899999999999
1002,B1N1,1600.0,48.911
1003,B1N1,1500.0,48.702
1004,B1N1,1400.0,48.283
1005,B1N1,1300.0,47.698
1006,B1N1,1200.0,46.861
1007,B1N1,1100.0,45.815
1008,B1N1,1000.0,44.35
1009,B1N1,900.0,42.593
1010,B1N1,800.0,40.459
1011,B1N1,700.0,38.074
1012,B1N1,600.0,35.229
1013,B1N1,500.0,31.38
1014,B1N1,400.0,26.276
1015,B1N1,300.0,19.849
1016,Co1O4S1,1900.0,173.259
1017,Co1O4S1,1800.0,171.921
1018,Co1O4S1,1700.0,170.498
1019,Co1O4S1,1600.0,169.075
1020,Co1O4S1,1500.0,167.56900000000002
1021,Co1O4S1,1400.0,165.979
1022,Co1O4S1,1300.0,164.30599999999998
1023,Co1O4S1,1200.0,162.465
1024,Co1O4S1,1100.0,160.415
1025,Co1O4S1,1000.0,158.113
1026,Co1O4S1,964.0,156.792
1027,Co1O4S1,964.0,157.221
1028,Co1O4S1,900.0,155.394
1029,Co1O4S1,800.0,152.047
1030,Co1O4S1,700.0,147.27700000000002
1031,Co1O4S1,600.0,140.666
1032,Co1O4S1,500.0,131.545
1033,Co1O4S1,400.0,119.286
1034,Co1O4S1,300.0,103.638
1035,Co1O4S1,298.0,103.219
1036,Cu1O1,1900.0,62.494
1037,Cu1O1,1800.0,61.726000000000006
1038,Cu1O1,1700.0,60.958
1039,Cu1O1,1600.0,60.181
1040,Cu1O1,1500.0,59.395
1041,Cu1O1,1400.0,58.601000000000006
1042,Cu1O1,1300.0,57.8
1043,Cu1O1,1200.0,56.978
1044,Cu1O1,1100.0,56.135
1045,Cu1O1,1000.0,55.262
1046,Cu1O1,900.0,54.34
1047,Cu1O1,800.0,53.349
1048,Cu1O1,700.0,52.24
1049,Cu1O1,600.0,50.935
1050,Cu1O1,500.0,49.261
1051,Cu1O1,400.0,46.806
1052,Cu1O1,300.0,42.364
1053,Cu1O1,298.0,42.246
1054,Br1Na1,298.0,51.4
1055,Br1Na1,1900.0,72.645
1056,Br1Na1,1800.0,71.267
1057,Br1Na1,1700.0,69.925
1058,Br1Na1,1600.0,68.618
1059,Br1Na1,1500.0,67.345
1060,Br1Na1,1400.0,66.107
1061,Br1Na1,1300.0,64.852
1062,Br1Na1,1200.0,63.597
1063,Br1Na1,1100.0,62.342
1064,Br1Na1,1020.0,61.337
1065,Br1Na1,1000.0,61.086000000000006
1066,Br1Na1,900.0,59.831
1067,Br1Na1,800.0,58.576
1068,Br1Na1,700.0,57.321000000000005
1069,Br1Na1,600.0,56.066
1070,Br1Na1,500.0,54.852
1071,Br1Na1,400.0,53.451
1072,Br1Na1,300.0,51.442
1073,Cr2O3,2900.0,146.24200000000002
1074,Cr2O3,2800.0,145.333
1075,Cr2O3,2700.0,144.428
1076,Cr2O3,2603.0,143.553
1077,Cr2O3,2600.0,143.526
1078,Cr2O3,2500.0,142.628
1079,Cr2O3,2400.0,141.733
1080,Cr2O3,2300.0,140.839
1081,Cr2O3,2200.0,139.947
1082,Cr2O3,2100.0,139.056
1083,Cr2O3,2000.0,138.168
1084,Cr2O3,1900.0,136.88
1085,Cr2O3,1800.0,135.457
1086,Cr2O3,1700.0,134.47799999999998
1087,Cr2O3,1600.0,133.486
1088,Cr2O3,1500.0,132.482
1089,Cr2O3,1400.0,131.457
1090,Cr2O3,1300.0,130.411
1091,Cr2O3,1200.0,129.332
1092,Cr2O3,1100.0,128.202
1093,Cr2O3,1000.0,127.009
1094,Cr2O3,900.0,125.725
1095,Cr2O3,800.0,124.29
1096,Cr2O3,700.0,122.625
1097,Cr2O3,600.0,120.549
1098,Cr2O3,500.0,117.721
1099,Cr2O3,400.0,112.675
1100,Cr2O3,305.0,126.775
1101,Cr2O3,305.0,126.775
1102,Cr2O3,300.0,121.922
1103,Cr2O3,298.0,120.366
1104,Cs1F1,1900.0,69.036
1105,Cs1F1,1800.0,68.994
1106,Cs1F1,1700.0,68.91
1107,Cs1F1,1600.0,68.743
1108,Cs1F1,1500.0,68.492
1109,Cs1F1,1400.0,68.157
1110,Cs1F1,1300.0,67.697
1111,Cs1F1,1200.0,66.944
1112,Cs1F1,1100.0,65.85600000000001
1113,Cs1F1,1000.0,64.35
1114,Cs1F1,976.0,63.952
1115,Cs1F1,900.0,62.63399999999999
1116,Cs1F1,800.0,60.877
1117,Cs1F1,700.0,59.12
1118,Cs1F1,600.0,57.363
1119,Cs1F1,500.0,55.56399999999999
1120,Cs1F1,400.0,53.764
1121,Cs1F1,300.0,52.007
1122,Cs1F1,298.0,51.965
1123,Cr2N1,2400.0,127.277
1124,Cr2N1,2300.0,124.934
1125,Cr2N1,2200.0,122.591
1126,Cr2N1,2100.0,119.955
1127,Cr2N1,2000.0,117.487
1128,Cr2N1,1900.0,114.767
1129,Cr2N1,1800.0,112.508
1130,Cr2N1,1700.0,109.788
1131,Cr2N1,1600.0,107.027
1132,Cr2N1,1500.0,104.265
1133,Cr2N1,1400.0,101.504
1134,Cr2N1,1300.0,98.742
1135,Cr2N1,1200.0,95.981
1136,Cr2N1,1100.0,93.261
1137,Cr2N1,1000.0,90.5
1138,Cr2N1,900.0,87.738
1139,Cr2N1,800.0,84.977
1140,Cr2N1,700.0,82.257
1141,Cr2N1,600.0,79.49600000000001
1142,Cr2N1,500.0,76.735
1143,Cr2N1,400.0,73.429
1144,Cr2N1,300.0,66.191
1145,Cr2N1,298.0,66.065
1146,Cl1Li1,1900.0,82.863
1147,Cl1Li1,1800.0,80.797
1148,Cl1Li1,1700.0,78.73100000000001
1149,Cl1Li1,1600.0,76.663
1150,Cl1Li1,1500.0,74.598
1151,Cl1Li1,1400.0,72.53399999999999
1152,Cl1Li1,1300.0,70.452
1153,Cl1Li1,1200.0,68.358
1154,Cl1Li1,1100.0,66.266
1155,Cl1Li1,1000.0,64.17
1156,Cl1Li1,900.0,62.06100000000001
1157,Cl1Li1,883.0,61.702
1158,Cl1Li1,800.0,59.93600000000001
1159,Cl1Li1,700.0,57.781000000000006
1160,Cl1Li1,600.0,55.593
1161,Cl1Li1,500.0,53.342
1162,Cl1Li1,400.0,50.969
1163,Cl1Li1,300.0,48.095
1164,Cl1Li1,298.0,48.028
1165,Fe0.877S1,1700.0,86.10700000000001
1166,Fe0.877S1,1600.0,79.161
1167,Fe0.877S1,1500.0,72.676
1168,Fe0.877S1,1400.0,67.195
1169,Fe0.877S1,1300.0,62.676
1170,Fe0.877S1,1200.0,59.12
1171,Fe0.877S1,1100.0,55.396
1172,Fe0.877S1,1000.0,52.007
1173,Fe0.877S1,900.0,52.886
1174,Fe0.877S1,800.0,53.848
1175,Fe0.877S1,700.0,55.56399999999999
1176,Fe0.877S1,600.0,58.11600000000001
1177,Fe0.877S1,598.0,68.563
1178,Fe0.877S1,598.0,58.175
1179,Fe0.877S1,500.0,62.383
1180,Fe0.877S1,400.0,56.149
1181,Fe0.877S1,300.0,50.0
1182,Fe0.877S1,298.0,49.883
1183,Cl1Na1,1400.0,77.53
1184,Cl1Na1,1300.0,75.145
1185,Cl1Na1,1200.0,71.965
1186,Cl1Na1,1100.0,68.325
1187,Cl1Na1,1073.8,67.37100000000001
1188,Cl1Na1,1000.0,64.865
1189,Cl1Na1,900.0,61.869
1190,Cl1Na1,800.0,59.312
1191,Cl1Na1,700.0,57.20399999999999
1192,Cl1Na1,600.0,55.476000000000006
1193,Cl1Na1,500.0,53.94
1194,Cl1Na1,400.0,52.35
1195,Cl1Na1,300.0,50.543
1196,Cl1Na1,298.0,50.50899999999999
1197,F2Hg1,1900.0,108.366
1198,F2Hg1,1800.0,106.274
1199,F2Hg1,1700.0,104.182
1200,F2Hg1,1600.0,102.09
1201,F2Hg1,1500.0,99.998
1202,F2Hg1,1400.0,97.906
1203,F2Hg1,1300.0,95.814
1204,F2Hg1,1200.0,93.722
1205,F2Hg1,1100.0,91.63
1206,F2Hg1,1000.0,89.538
1207,F2Hg1,918.0,87.822
1208,F2Hg1,900.0,87.446
1209,F2Hg1,800.0,85.354
1210,F2Hg1,700.0,83.262
1211,F2Hg1,600.0,81.17
1212,F2Hg1,500.0,79.078
1213,F2Hg1,400.0,76.986
1214,F2Hg1,300.0,74.89399999999999
1215,F2Hg1,298.0,74.85600000000001
1216,Fe1H2O2,1400.0,125.436
1217,Fe1H2O2,1200.0,125.102
1218,Fe1H2O2,1100.0,124.516
1219,Fe1H2O2,1000.0,123.386
1220,Fe1H2O2,900.0,121.545
1221,Fe1H2O2,800.0,118.951
1222,Fe1H2O2,700.0,115.478
1223,Fe1H2O2,600.0,111.294
1224,Fe1H2O2,500.0,106.776
1225,Fe1H2O2,400.0,102.09
1226,Fe1H2O2,300.0,97.152
1227,Fe1H2O2,298.0,97.069
1228,Cs1H1O1,900.0,83.68
1229,Cs1H1O1,800.0,83.68
1230,Cs1H1O1,700.0,83.68
1231,Cs1H1O1,600.0,83.68
1232,Cs1H1O1,588.0,83.68
1233,Cs1H1O1,500.0,83.68
1234,Cs1H1O1,493.0,82.17399999999999
1235,Cs1H1O1,493.0,83.68
1236,Cs1H1O1,410.0,74.99
1237,Cs1H1O1,410.0,75.22800000000001
1238,Cs1H1O1,400.0,74.392
1239,Cs1H1O1,300.0,67.99
1240,Cs1H1O1,298.0,67.872
1241,Br3Mo1,298.0,105.37
1242,Br3Mo1,1400.0,121.503
1243,Br3Mo1,1300.0,120.039
1244,Br3Mo1,1200.0,118.575
1245,Br3Mo1,1100.0,117.11
1246,Br3Mo1,1000.0,115.646
1247,Br3Mo1,900.0,114.181
1248,Br3Mo1,800.0,112.717
1249,Br3Mo1,700.0,111.253
1250,Br3Mo1,600.0,109.788
1251,Br3Mo1,500.0,108.324
1252,Br3Mo1,400.0,106.859
1253,Br3Mo1,300.0,105.395
1254,Br2Sr1,298.0,76.85300000000001
1255,Br2Sr1,1400.0,115.06
1256,Br2Sr1,1300.0,115.06
1257,Br2Sr1,1200.0,115.06
1258,Br2Sr1,1100.0,115.06
1259,Br2Sr1,1000.0,115.06
1260,Br2Sr1,930.0,115.06
1261,Br2Sr1,918.0,91.717
1262,Br2Sr1,918.0,115.06
1263,Br2Sr1,900.0,91.002
1264,Br2Sr1,800.0,87.571
1265,Br2Sr1,700.0,84.89299999999999
1266,Br2Sr1,600.0,82.676
1267,Br2Sr1,500.0,80.835
1268,Br2Sr1,300.0,76.902
1269,Cl2Hg2,1400.0,126.311
1270,Cl2Hg2,1300.0,125.169
1271,Cl2Hg2,1200.0,123.846
1272,Cl2Hg2,1100.0,122.34
1273,Cl2Hg2,1000.0,120.667
1274,Cl2Hg2,900.0,118.826
1275,Cl2Hg2,800.0,116.817
1276,Cl2Hg2,700.0,114.558
1277,Cl2Hg2,600.0,112.131
1278,Cl2Hg2,500.0,109.328
1279,Cl2Hg2,400.0,106.023
1280,Cl2Hg2,300.0,102.048
1281,Cl2Hg2,298.0,101.968
1282,Fe1O1,1900.0,65.79
1283,Fe1O1,1800.0,65.229
1284,Fe1O1,1700.0,64.631
1285,Fe1O1,1650.0,64.319
1286,Fe1O1,1600.0,64.015
1287,Fe1O1,1500.0,63.396
1288,Fe1O1,1400.0,62.76
1289,Fe1O1,1300.0,61.975
1290,Fe1O1,1200.0,61.086000000000006
1291,Fe1O1,1100.0,60.234
1292,Fe1O1,1000.0,59.371
1293,Fe1O1,900.0,58.283
1294,Fe1O1,800.0,57.321000000000005
1295,Fe1O1,700.0,56.149
1296,Fe1O1,600.0,54.894
1297,Fe1O1,500.0,53.388000000000005
1298,Fe1O1,400.0,51.84
1299,Fe1O1,300.0,49.999
1300,Fe1O1,298.0,49.915
1301,Co1,2400.0,37.656
1302,Co1,2300.0,37.656
1303,Co1,2200.0,37.656
1304,Co1,2100.0,37.656
1305,Co1,2000.0,37.656
1306,Co1,1900.0,37.656
1307,Co1,1800.0,37.656
1308,Co1,1768.0,37.99
1309,Co1,1700.0,37.782
1310,Co1,1600.0,38.284
1311,Co1,1500.0,39.748000000000005
1312,Co1,1400.0,44.225
1313,Co1,1394.0,54.978
1314,Co1,1394.0,54.999
1315,Co1,1300.0,48.66
1316,Co1,1200.0,43.221
1317,Co1,1100.0,39.832
1318,Co1,1000.0,36.987
1319,Co1,900.0,34.518
1320,Co1,800.0,32.426
1321,Co1,700.1,31.047
1322,Co1,700.1,30.583
1323,Co1,700.0,31.045
1324,Co1,600.0,29.665
1325,Co1,500.0,28.2
1326,Co1,450.0,27.39
1327,Co1,400.0,26.527
1328,Co1,350.0,25.682
1329,Co1,300.0,24.833
1330,Co1,298.0,24.802
1331,Cl1Cs1,298.0,52.442
1332,Cl1Cs1,1900.0,69.245
1333,Cl1Cs1,1800.0,68.743
1334,Cl1Cs1,1700.0,68.241
1335,Cl1Cs1,1600.0,67.697
1336,Cl1Cs1,1500.0,67.195
1337,Cl1Cs1,1400.0,66.693
1338,Cl1Cs1,1300.0,66.191
1339,Cl1Cs1,1200.0,65.689
1340,Cl1Cs1,1100.0,65.187
1341,Cl1Cs1,1000.0,64.685
1342,Cl1Cs1,918.0,64.266
1343,Cl1Cs1,900.0,64.17399999999999
1344,Cl1Cs1,800.0,63.68
1345,Cl1Cs1,743.0,62.237
1346,Cl1Cs1,743.0,63.388000000000005
1347,Cl1Cs1,700.0,61.29600000000001
1348,Cl1Cs1,600.0,59.099
1349,Cl1Cs1,500.0,56.902
1350,Cl1Cs1,400.0,54.685
1351,Cl1Cs1,300.0,52.472
1352,Cu1H2O2,1400.0,122.047
1353,Cu1H2O2,1300.0,121.88
1354,Cu1H2O2,1200.0,121.503
1355,Cu1H2O2,1100.0,120.75
1356,Cu1H2O2,1000.0,119.662
1357,Cu1H2O2,900.0,117.989
1358,Cu1H2O2,800.0,115.562
1359,Cu1H2O2,700.0,112.131
1360,Cu1H2O2,600.0,108.031
1361,Cu1H2O2,500.0,103.763
1362,Cu1H2O2,400.0,99.496
1363,Cu1H2O2,300.0,95.228
1364,Cu1H2O2,298.0,95.186
1365,Al1Li1O2,298.0,67.777
1366,Al1Li1O2,2100.0,117.294
1367,Al1Li1O2,2000.0,116.022
1368,Al1Li1O2,1973.0,115.679
1369,Al1Li1O2,1900.0,114.746
1370,Al1Li1O2,1800.0,113.449
1371,Al1Li1O2,1700.0,112.14
1372,Al1Li1O2,1600.0,110.813
1373,Al1Li1O2,1500.0,109.466
1374,Al1Li1O2,1400.0,108.089
1375,Al1Li1O2,1300.0,106.671
1376,Al1Li1O2,1200.0,105.198
1377,Al1Li1O2,1100.0,103.654
1378,Al1Li1O2,1000.0,102.006
1379,Al1Li1O2,900.0,100.203
1380,Al1Li1O2,800.0,98.165
1381,Al1Li1O2,700.0,95.751
1382,Al1Li1O2,600.0,92.688
1383,Al1Li1O2,500.0,88.40799999999999
1384,Al1Li1O2,400.0,81.546
1385,Al1Li1O2,300.0,68.128
1386,Co1F2,1900.0,87.441
1387,Co1F2,1800.0,87.14
1388,Co1F2,1700.0,86.831
1389,Co1F2,1600.0,86.51700000000001
1390,Co1F2,1500.0,86.186
1391,Co1F2,1400.0,85.839
1392,Co1F2,1400.0,85.839
1393,Co1F2,1300.0,85.475
1394,Co1F2,1200.0,85.07700000000001
1395,Co1F2,1100.0,84.646
1396,Co1F2,1000.0,84.161
1397,Co1F2,900.0,83.59200000000001
1398,Co1F2,800.0,82.902
1399,Co1F2,700.0,82.015
1400,Co1F2,600.0,80.789
1401,Co1F2,500.0,78.92699999999999
1402,Co1F2,400.0,75.714
1403,Co1F2,300.0,69.041
1404,Co1F2,298.0,68.90899999999999
1405,Br2Fe1,298.0,80.232
1406,Br2Fe1,1400.0,104.759
1407,Br2Fe1,1300.0,102.533
1408,Br2Fe1,1200.0,100.307
1409,Br2Fe1,1100.0,98.081
1410,Br2Fe1,1000.0,95.855
1411,Br2Fe1,964.0,95.054
1412,Br2Fe1,900.0,93.63
1413,Br2Fe1,800.0,91.404
1414,Br2Fe1,700.0,89.178
1415,Br2Fe1,650.0,88.061
1416,Br2Fe1,650.0,88.069
1417,Br2Fe1,600.0,86.95200000000001
1418,Br2Fe1,500.0,84.726
1419,Br2Fe1,400.0,82.5
1420,Br2Fe1,300.0,80.274
1421,Fe1I2,1400.0,142.256
1422,Fe1I2,1300.0,142.256
1423,Fe1I2,1200.0,142.256
1424,Fe1I2,1100.0,141.188
1425,Fe1I2,1000.0,136.817
1426,Fe1I2,900.0,126.224
1427,Fe1I2,860.0,120.005
1428,Fe1I2,800.0,110.876
1429,Fe1I2,700.0,95.395
1430,Fe1I2,650.0,84.546
1431,Fe1I2,650.0,87.86399999999999
1432,Fe1I2,600.0,84.425
1433,Fe1I2,500.0,84.182
1434,Fe1I2,400.0,83.931
1435,Fe1I2,300.0,83.68
1436,Fe1I2,298.0,83.68
1437,Ga1,450.0,27.916
1438,Ga1,400.0,27.46
1439,Ga1,350.0,27.004
1440,Ga1,302.92,26.133000000000003
1441,Ga1,300.0,26.091
1442,Ga1,298.0,26.064
1443,Cl1Li1O4,298.0,105.018
1444,Cl1Li1O4,1400.0,192.771
1445,Cl1Li1O4,1300.0,188.866
1446,Cl1Li1O4,1200.0,184.933
1447,Cl1Li1O4,1100.0,180.972
1448,Cl1Li1O4,1000.0,176.983
1449,Cl1Li1O4,900.0,172.067
1450,Cl1Li1O4,800.0,166.523
1451,Cl1Li1O4,700.0,160.03799999999998
1452,Cl1Li1O4,600.0,152.716
1453,Cl1Li1O4,509.0,144.34
1454,Cl1Li1O4,500.0,143.511
1455,Cl1Li1O4,400.0,129.704
1456,Cl1Li1O4,300.0,105.437
1457,Cl2Cu1,1400.0,84.75
1458,Cl2Cu1,1300.0,84.19
1459,Cl2Cu1,1200.0,83.60700000000001
1460,Cl2Cu1,1100.0,83.001
1461,Cl2Cu1,1000.0,82.37
1462,Cl2Cu1,900.0,81.655
1463,Cl2Cu1,800.0,80.885
1464,Cl2Cu1,700.0,79.956
1465,Cl2Cu1,600.0,78.785
1466,Cl2Cu1,500.0,77.278
1467,Cl2Cu1,400.0,75.061
1468,Cl2Cu1,300.0,71.923
1469,Cl2Cu1,298.0,71.881
1470,Fe0.947O1,2400.0,64.74
1471,Fe0.947O1,2300.0,64.601
1472,Fe0.947O1,2200.0,64.434
1473,Fe0.947O1,2100.0,64.238
1474,Fe0.947O1,2000.0,64.015
1475,Fe0.947O1,1900.0,63.696000000000005
1476,Fe0.947O1,1800.0,63.304
1477,Fe0.947O1,1700.0,62.787
1478,Fe0.947O1,1600.0,62.065
1479,Fe0.947O1,1500.0,61.212
1480,Fe0.947O1,1400.0,60.358
1481,Fe0.947O1,1300.0,59.496
1482,Fe0.947O1,1200.0,58.63
1483,Fe0.947O1,1100.0,57.76
1484,Fe0.947O1,1000.0,56.873000000000005
1485,Fe0.947O1,900.0,55.969
1486,Fe0.947O1,800.0,55.041
1487,Fe0.947O1,700.0,54.07
1488,Fe0.947O1,600.0,53.028
