,CIF_id,MP_num,Density
0,250065,mp-801,12.883572424806513
1,250101,mp-979040,5.527285146110387
2,250101,mp-768,5.632610075827367
3,250125,mp-1139,9.96299728602397
4,250125,mp-1008279,10.015481379001777
5,250125,mp-1226451,9.182845677359099
6,250191,mp-1232,12.898261191603371
7,250191,mp-1186016,12.777078339068995
8,250225,mp-1220074,9.257027075671665
9,250225,mp-11506,9.769613810100632
10,250236,mp-1326,8.743524434942238
11,250328,mp-674,10.24939082494553
12,250329,mp-2092,10.760259389502755
13,250330,mp-1571,10.397704278275409
14,250331,mp-2333,10.615888317928517
15,250332,mp-357,10.984967698041599
16,250333,mp-636279,10.820994191815037
17,250334,mp-21427,11.316717971608051
18,250335,mp-2747,11.524663797651474
19,250336,mp-797,11.700858341922407
20,250337,mp-1979,11.846010450424608
21,250338,mp-2825,11.994827919381457
22,250340,mp-1158,12.413465658612973
23,250363,mp-633,7.415102440372493
24,250364,mp-1911,7.828775749263485
25,250365,mp-376,7.546256330916136
26,250366,mp-1977,7.691879011502618
27,250367,mp-2484,7.930209209150159
28,250368,mp-20387,7.8012568552109
29,250369,mp-19919,8.156980369979735
30,250369,mp-623460,7.143449785750475
31,250372,mp-20131,7.270778164452664
32,250373,mp-20729,7.376635651289854
33,250374,mp-20369,7.775449563030647
34,250375,mp-20903,7.656968652399108
35,250376,mp-21197,7.823092406876472
36,250377,mp-19977,8.104522072794246
37,250378,mp-20258,8.343110213259171
38,250379,mp-20920,8.47215828655415
39,250380,mp-20236,8.584764503741077
40,250381,mp-21431,8.677201098283199
41,250382,mp-1291,8.763547703005178
42,250383,mp-21177,8.842670849139486
43,250385,mp-977,9.013708392223592
44,250390,mp-801,12.883572424806513
45,250394,mp-1192425,7.572105974393418
46,250394,mp-2588,7.541135564711174
47,250399,mp-1216480,6.649320580371982
48,250399,mp-22568,6.834443953341236
49,250404,mp-16513,4.431460698497046
50,250410,mp-865411,4.9748359632746535
51,250411,mp-976358,6.563350676639624
52,250411,mp-1080098,6.486766794944658
53,250462,mp-1101986,9.597363238603098
54,250463,mp-1192321,6.915798314053175
55,250463,mp-1102392,6.870259267313855
56,250464,mp-1192425,7.572105974393418
57,250464,mp-2588,7.541135564711174
58,250465,mp-569196,7.788807287711017
59,250468,mp-19977,8.104522072794246
60,250476,mp-20309,10.671595644085569
61,250502,mp-865527,3.610804964601175
62,250502,mp-11232,2.391904116949502
63,250502,mp-11231,3.700060960389031
64,250502,mp-2451,3.6346952134378188
65,250503,mp-865411,4.9748359632746535
66,250504,mp-16513,4.431460698497046
67,250505,mp-12553,4.2842805337050525
68,250505,mp-570409,4.383239011456298
69,250506,mp-567305,4.334028134283033
70,250507,mp-959,4.069623314700671
71,250508,mp-1184171,5.443394957351932
72,250508,mp-2134,5.554689859094507
73,250508,mp-862656,5.5240221520341235
74,250525,mp-1409,8.170464969881639
75,250527,mp-21432,10.422672224131672
76,250530,mp-1220420,8.559896739233848
77,250530,mp-1451,9.201398899391465
78,250530,mp-999188,8.850508014459278
79,250530,mp-11513,9.17745354406204
80,250530,mp-999378,8.884123207300053
81,250554,mp-1226802,7.326271106559092
82,250561,mp-30745,21.74541412225068
83,250562,mp-1219506,13.83568242201397
84,250562,mp-30866,14.496788904720361
85,250563,mp-11482,19.324106016376305
86,250564,mp-1221397,11.430488729323681
87,250564,mp-30787,11.949571843809524
88,250628,mp-1018021,9.484248854182471
89,250628,mp-1220660,8.952881583522853
90,250628,mp-977426,9.500977262376134
91,250628,mp-570557,9.003407474216944
92,250646,mp-2351,18.661532327243094
93,250648,mp-790,19.06247638492796
94,250649,mp-481,16.546175481474044
95,250650,mp-2092,10.760259389502755
96,250651,mp-21427,11.316717971608051
97,250652,mp-718,11.303794193467914
98,250652,mp-1218937,10.38693842737166
99,250668,mp-640095,6.599269145470333
100,250679,mp-20309,10.671595644085569
101,250693,mp-2092,10.760259389502755
102,250717,mp-1189958,5.181760423731233
103,250717,mp-1186855,5.210643938605863
104,250717,mp-369,5.129861982817475
105,250717,mp-867232,5.091299866816359
106,250718,mp-865411,4.9748359632746535
107,250735,mp-1220420,8.559896739233848
108,250735,mp-1451,9.201398899391465
109,250735,mp-999188,8.850508014459278
110,250735,mp-11513,9.17745354406204
111,250735,mp-999378,8.884123207300053
112,250737,mp-569776,12.339145193230443
113,250737,mp-891,12.337173801007728
114,250737,mp-570491,12.31760096600835
115,250737,mp-1217931,11.478490785641336
116,250740,mp-1082,18.74230964429206
117,250740,mp-865496,18.802697413478537
118,250742,mp-2006,10.606847605102757
119,250752,mp-1080590,15.828538267315666
120,250753,mp-30386,16.047024263509954
121,250754,mp-1080756,16.24291569765432
122,250763,mp-980752,7.834426899135408
123,250765,mp-1101053,8.996006147572587
124,250809,mp-2465,18.091854211021605
125,250810,mp-1549,17.864325596737118
126,250891,mp-674,10.24939082494553
127,250892,mp-2092,10.760259389502755
128,250893,mp-1571,10.397704278275409
129,250894,mp-559,9.834653340340134
130,250920,mp-30634,8.91538949231219
131,250934,mp-718,11.303794193467914
132,250934,mp-1218937,10.38693842737166
133,250962,mp-20971,17.869663336391046
134,250963,mp-20516,17.91275209288864
135,250977,mp-1051,10.347702857282641
